payout_x100,route,backdraft,count
1690,rescue,False,3
1700,rescue,False,2
1710,rescue,False,2
1720,rescue,False,3
1730,rescue,False,1
1740,inferno,False,1
1740,rescue,False,4
1750,inferno,False,1
1750,rescue,False,2
1760,inferno,False,1
1760,rescue,False,3
1770,rescue,False,4
1780,rescue,False,1
1790,inferno,False,1
1790,rescue,False,1
1800,inferno,False,2
1800,rescue,False,5
1810,inferno,False,1
1810,rescue,False,3
1820,inferno,False,1
1820,rescue,False,4
1840,rescue,False,2
1850,inferno,False,1
1850,rescue,False,4
1870,rescue,False,3
1880,rescue,False,3
1890,rescue,False,2
1900,inferno,False,1
1900,rescue,False,3
1910,inferno,False,2
1920,rescue,False,1
1930,rescue,False,2
1940,none,True,1
1940,rescue,False,3
1950,rescue,False,1
1960,rescue,False,2
1980,rescue,False,2
1990,inferno,False,1
2000,inferno,False,4
2010,inferno,False,2
2010,rescue,False,1
2020,inferno,False,2
2020,rescue,False,3
2030,rescue,False,4
2040,inferno,False,1
2040,rescue,False,1
2050,inferno,False,1
2050,rescue,False,1
2060,rescue,False,1
2070,inferno,False,2
2070,rescue,False,4
2080,inferno,False,1
2090,inferno,False,1
2090,rescue,False,1
2100,inferno,False,2
2100,rescue,False,1
2110,inferno,False,1
2110,rescue,False,4
2120,rescue,False,4
2130,inferno,False,3
2130,rescue,False,3
2140,rescue,False,2
2150,inferno,False,1
2150,rescue,False,2
2160,inferno,False,1
2160,rescue,False,2
2180,rescue,False,1
2190,inferno,False,1
2190,rescue,False,1
2200,inferno,False,1
2200,rescue,False,5
2210,inferno,False,1
2210,rescue,False,1
2220,rescue,False,3
2230,inferno,False,1
2240,inferno,False,1
2240,rescue,False,3
2250,inferno,False,2
2250,rescue,False,4
2260,inferno,False,1
2260,rescue,False,4
2270,inferno,False,2
2270,rescue,False,2
2280,rescue,False,2
2290,inferno,False,2
2290,rescue,False,1
2300,inferno,False,3
2300,rescue,False,3
2310,inferno,False,2
2310,rescue,False,2
2320,inferno,False,3
2320,rescue,False,1
2330,inferno,False,2
2340,inferno,False,1
2340,rescue,False,2
2350,inferno,False,4
2360,rescue,False,1
2370,rescue,False,1
2380,rescue,False,1
2390,rescue,False,1
2400,inferno,False,1
2410,rescue,False,2
2420,inferno,False,2
2420,rescue,False,2
2440,inferno,False,2
2440,rescue,False,1
2450,inferno,False,1
2450,rescue,False,3
2460,inferno,False,3
2460,rescue,False,1
2470,inferno,False,1
2470,rescue,False,5
2480,rescue,False,3
2490,inferno,False,1
2490,rescue,False,1
2500,inferno,False,3
2500,none,True,1
2500,rescue,False,1
2510,inferno,False,1
2510,rescue,False,3
2520,rescue,False,1
2530,rescue,False,4
2540,inferno,False,1
2540,rescue,False,1
2550,inferno,False,1
2560,rescue,False,1
2570,inferno,False,1
2570,rescue,False,1
2580,rescue,False,1
2590,inferno,False,1
2590,none,True,1
2590,rescue,False,4
2600,rescue,False,1
2610,rescue,False,2
2620,rescue,False,3
2630,inferno,False,4
2630,rescue,False,1
2640,inferno,False,1
2640,none,True,1
2640,rescue,False,1
2650,inferno,False,1
2650,none,False,1
2650,rescue,False,3
2660,inferno,False,1
2670,inferno,False,2
2680,rescue,False,1
2690,inferno,False,1
2700,inferno,False,3
2700,rescue,False,2
2720,inferno,False,1
2730,inferno,False,1
2730,rescue,False,1
2750,inferno,False,1
2750,rescue,False,4
2770,inferno,False,1
2780,rescue,False,1
2790,rescue,False,1
2800,inferno,False,1
2800,rescue,False,1
2810,inferno,False,1
2820,inferno,False,2
2830,inferno,False,1
2830,rescue,False,1
2840,inferno,False,1
2840,rescue,False,1
2850,inferno,False,2
2850,rescue,False,1
2870,inferno,False,2
2870,rescue,False,1
2880,inferno,False,1
2880,rescue,False,1
2890,rescue,False,3
2900,inferno,False,1
2900,rescue,False,1
2910,rescue,False,1
2920,inferno,False,1
2920,rescue,False,1
2930,inferno,False,2
2940,inferno,False,1
2940,rescue,False,1
2950,inferno,False,1
2970,inferno,False,2
2990,rescue,False,1
3000,inferno,False,1
3000,rescue,False,1
3010,inferno,False,2
3020,rescue,False,1
3030,inferno,False,1
3040,rescue,False,1
3050,rescue,False,1
3060,inferno,False,2
3060,rescue,False,2
3070,rescue,False,1
3080,inferno,False,3
3090,inferno,False,1
3090,rescue,False,1
3100,inferno,False,2
3110,rescue,False,1
3120,inferno,False,1
3130,inferno,False,1
3150,rescue,False,2
3170,inferno,False,1
3180,rescue,False,1
3190,rescue,False,1
3200,rescue,False,1
3210,inferno,False,1
3210,rescue,False,1
3220,inferno,False,1
3220,rescue,False,1
3240,rescue,False,1
3250,inferno,False,2
3270,rescue,False,1
3280,inferno,False,2
3280,rescue,False,2
3290,inferno,False,2
3310,inferno,False,2
3310,rescue,False,1
3320,inferno,False,1
3320,rescue,False,1
3340,inferno,False,1
3340,rescue,False,1
3360,inferno,False,2
3360,rescue,False,1
3380,inferno,False,1
3400,rescue,False,2
3410,inferno,False,1
3410,rescue,False,1
3430,inferno,False,1
3430,rescue,False,1
3440,inferno,False,2
3450,inferno,False,1
3470,rescue,False,1
3490,inferno,False,2
3510,inferno,False,2
3550,inferno,False,2
3550,rescue,False,2
3560,inferno,False,2
3560,rescue,False,1
3570,inferno,False,1
3570,rescue,False,1
3590,inferno,False,3
3610,inferno,False,1
3610,rescue,False,1
3640,inferno,False,2
3640,rescue,False,2
3650,inferno,False,1
3660,rescue,False,2
3680,rescue,False,1
3690,inferno,False,1
3700,inferno,False,1
3700,rescue,False,1
3710,inferno,False,3
3710,rescue,False,1
3730,rescue,False,1
3740,inferno,False,1
3740,rescue,False,2
3750,inferno,False,1
3760,inferno,False,1
3770,inferno,False,3
3780,inferno,False,1
3800,inferno,False,2
3800,rescue,False,2
3810,inferno,False,1
3820,inferno,False,1
3830,inferno,False,1
3840,inferno,False,2
3860,inferno,False,1
3860,rescue,False,1
3870,rescue,False,1
3880,inferno,False,1
3880,rescue,False,1
3890,rescue,False,1
3900,inferno,False,2
3920,inferno,False,2
3940,inferno,False,1
3940,rescue,False,1
3950,inferno,False,2
3950,rescue,False,1
3960,rescue,False,2
3970,inferno,False,1
3970,rescue,False,2
3980,inferno,False,3
3990,inferno,False,3
4000,inferno,False,2
4010,inferno,False,2
4010,rescue,False,1
4020,inferno,False,1
4020,rescue,False,1
4030,inferno,False,1
4030,rescue,False,1
4040,inferno,False,2
4050,inferno,False,3
4070,inferno,False,3
4090,inferno,False,2
4090,rescue,False,1
4100,inferno,False,1
4100,rescue,False,1
4120,inferno,False,2
4130,inferno,False,2
4140,inferno,False,1
4150,inferno,False,2
4160,inferno,False,1
4160,rescue,False,1
4170,inferno,False,1
4180,inferno,False,1
4180,rescue,False,2
4190,inferno,False,1
4190,rescue,False,1
4210,inferno,False,1
4210,rescue,False,1
4220,inferno,False,3
4240,inferno,False,2
4250,inferno,False,1
4260,inferno,False,1
4260,rescue,False,1
4270,inferno,False,2
4270,rescue,False,1
4300,inferno,False,1
4300,rescue,False,1
4330,rescue,False,1
4340,inferno,False,3
4340,rescue,False,2
4350,inferno,False,3
4360,inferno,False,1
4380,inferno,False,3
4380,rescue,False,1
4400,inferno,False,1
4430,inferno,False,2
4440,inferno,False,1
4440,rescue,False,1
4460,inferno,False,1
4470,inferno,False,1
4480,rescue,False,2
4490,inferno,False,1
4500,inferno,False,1
4510,inferno,False,2
4520,inferno,False,2
4530,inferno,False,1
4540,inferno,False,1
4550,inferno,False,3
4550,rescue,False,1
4570,inferno,False,1
4580,inferno,False,1
4600,inferno,False,3
4610,inferno,False,2
4620,inferno,False,2
4620,rescue,False,1
4630,inferno,False,2
4670,inferno,False,3
4680,inferno,False,2
4690,inferno,False,1
4700,inferno,False,2
4710,inferno,False,1
4720,inferno,False,2
4720,rescue,False,1
4740,inferno,False,1
4750,rescue,False,1
4770,inferno,False,2
4800,inferno,False,1
4810,rescue,False,1
4830,inferno,False,2
4830,rescue,False,1
4840,inferno,False,2
4870,inferno,False,2
4890,inferno,False,1
4890,rescue,False,1
4900,rescue,False,1
4910,inferno,False,1
4920,inferno,False,1
4930,inferno,False,2
4950,inferno,False,2
4980,inferno,False,2
5000,inferno,False,1
5030,inferno,False,2
5040,inferno,False,1
5050,inferno,False,1
5060,inferno,False,1
5060,rescue,False,1
5080,inferno,False,2
5090,inferno,False,1
5090,rescue,False,1
5100,inferno,False,2
5110,inferno,False,2
5120,inferno,False,2
5140,inferno,False,2
5150,inferno,False,2
5160,inferno,False,1
5160,rescue,False,2
5180,inferno,False,2
5210,inferno,False,1
5220,inferno,False,3
5230,inferno,False,1
5230,rescue,False,1
5240,rescue,False,1
5250,inferno,False,3
5260,none,True,1
5270,inferno,False,2
5270,rescue,False,1
5280,inferno,False,1
5290,inferno,False,5
5300,inferno,False,1
5300,rescue,False,1
5310,rescue,False,1
5330,inferno,False,2
5330,rescue,False,1
5340,inferno,False,1
5340,rescue,False,1
5350,inferno,False,4
5360,inferno,False,2
5360,rescue,False,1
5370,inferno,False,2
5390,inferno,False,3
5400,rescue,False,1
5410,inferno,False,2
5420,inferno,False,1
5420,rescue,False,1
5440,inferno,False,2
5440,rescue,False,1
5450,inferno,False,2
5460,inferno,False,2
5460,rescue,False,1
5470,rescue,False,1
5480,inferno,False,1
5490,inferno,False,1
5490,rescue,False,1
5500,rescue,False,1
5510,inferno,False,1
5510,rescue,False,2
5530,inferno,False,3
5550,inferno,False,1
5560,inferno,False,1
5570,inferno,False,2
5570,rescue,False,1
5590,inferno,False,2
5600,inferno,False,1
5610,inferno,False,3
5620,inferno,False,2
5630,inferno,False,1
5640,inferno,False,2
5650,inferno,False,4
5660,inferno,False,1
5670,rescue,False,1
5690,inferno,False,1
5700,inferno,False,1
5710,rescue,False,1
5720,rescue,False,1
5730,inferno,False,1
5740,inferno,False,1
5750,inferno,False,1
5770,inferno,False,2
5790,inferno,False,1
5790,rescue,False,1
5800,inferno,False,2
5830,inferno,False,2
5840,inferno,False,3
5850,inferno,False,1
5870,inferno,False,4
5880,inferno,False,1
5890,inferno,False,4
5920,inferno,False,1
5920,rescue,False,1
5930,inferno,False,1
5940,inferno,False,2
5950,inferno,False,1
5960,inferno,False,2
5980,rescue,False,1
6010,inferno,False,1
6020,inferno,False,1
6040,rescue,False,2
6050,inferno,False,2
6050,rescue,False,1
6090,inferno,False,1
6110,inferno,False,1
6120,inferno,False,1
6140,inferno,False,3
6160,inferno,False,2
6190,inferno,False,1
6200,inferno,False,2
6210,inferno,False,1
6220,inferno,False,4
6250,inferno,False,1
6260,rescue,False,1
6270,inferno,False,2
6280,inferno,False,1
6280,rescue,False,1
6290,inferno,False,1
6300,inferno,False,1
6310,inferno,False,2
6320,inferno,False,2
6350,rescue,False,1
6370,inferno,False,1
6380,inferno,False,1
6390,inferno,False,1
6420,inferno,False,1
6420,rescue,False,1
6430,inferno,False,1
6470,inferno,False,2
6490,rescue,False,1
6500,inferno,False,1
6500,rescue,False,1
6510,inferno,False,1
6520,inferno,False,3
6530,inferno,False,1
6570,inferno,False,1
6580,inferno,False,1
6590,inferno,False,1
6600,inferno,False,1
6630,inferno,False,1
6650,rescue,False,1
6660,rescue,False,1
6670,inferno,False,2
6680,inferno,False,1
6690,inferno,False,1
6700,inferno,False,1
6710,inferno,False,1
6730,inferno,False,2
6750,inferno,False,2
6760,inferno,False,2
6790,inferno,False,1
6800,inferno,False,1
6810,inferno,False,2
6820,rescue,False,1
6830,inferno,False,1
6850,inferno,False,1
6860,inferno,False,2
6880,inferno,False,1
6900,inferno,False,1
6910,inferno,False,2
6910,rescue,False,1
6940,inferno,False,2
7000,inferno,False,1
7020,inferno,False,1
7050,inferno,False,3
7080,inferno,False,1
7090,inferno,False,1
7110,inferno,False,1
7120,inferno,False,1
7130,inferno,False,1
7170,inferno,False,1
7180,rescue,False,1
7190,inferno,False,1
7210,inferno,False,1
7210,rescue,False,1
7230,inferno,False,1
7250,inferno,False,1
7250,rescue,False,1
7260,inferno,False,1
7270,inferno,False,1
7300,inferno,False,1
7310,inferno,False,2
7340,inferno,False,1
7360,inferno,False,1
7380,inferno,False,1
7390,rescue,False,1
7410,inferno,False,1
7420,inferno,False,1
7460,inferno,False,1
7480,inferno,False,1
7480,rescue,False,1
7490,inferno,False,1
7530,inferno,False,2
7530,rescue,False,1
7560,rescue,False,1
7570,inferno,False,1
7580,inferno,False,1
7600,inferno,False,2
7620,inferno,False,1
7680,inferno,False,4
7710,inferno,False,1
7720,inferno,False,1
7750,inferno,False,1
7770,inferno,False,1
7780,rescue,False,1
7790,inferno,False,1
7810,inferno,False,1
7860,inferno,False,1
7870,rescue,False,1
7880,inferno,False,1
7900,inferno,False,1
7910,inferno,False,2
7930,inferno,False,1
7970,inferno,False,2
7980,inferno,False,1
8000,inferno,False,1
8030,inferno,False,1
8050,inferno,False,2
8070,inferno,False,1
8080,inferno,False,1
8090,inferno,False,2
8100,inferno,False,1
8160,inferno,False,1
8170,rescue,False,1
8180,inferno,False,1
8190,inferno,False,1
8200,inferno,False,1
8210,inferno,False,1
8220,inferno,False,1
8230,inferno,False,1
8240,inferno,False,1
8260,inferno,False,1
8270,inferno,False,1
8280,inferno,False,1
8300,inferno,False,1
8340,inferno,False,1
8350,inferno,False,2
8420,inferno,False,1
8450,inferno,False,1
8470,inferno,False,2
8490,inferno,False,1
8510,inferno,False,2
8530,inferno,False,3
8540,inferno,False,1
8570,inferno,False,2
8580,rescue,False,1
8630,inferno,False,1
8690,inferno,False,2
8750,inferno,False,3
8760,inferno,False,1
8770,inferno,False,1
8780,inferno,False,1
8810,inferno,False,1
8850,inferno,False,2
8850,rescue,False,1
8870,rescue,False,1
8890,inferno,False,1
8920,rescue,False,1
8940,inferno,False,2
8990,inferno,False,1
9000,inferno,False,1
9020,rescue,False,1
9040,inferno,False,1
9060,inferno,False,1
9080,inferno,False,1
9090,inferno,False,1
9100,inferno,False,1
9150,inferno,False,1
9170,inferno,False,1
9180,inferno,False,1
9190,rescue,False,1
9200,inferno,False,2
9210,inferno,False,1
9220,inferno,False,1
9240,inferno,False,1
9270,inferno,False,1
9290,inferno,False,1
9300,rescue,False,1
9350,inferno,False,1
9360,inferno,False,1
9370,rescue,False,1
9380,inferno,False,1
9390,inferno,False,1
9390,rescue,False,1
9400,inferno,False,2
9430,inferno,False,2
9460,inferno,False,2
9500,inferno,False,1
9510,inferno,False,1
9520,inferno,False,1
9530,inferno,False,1
9540,inferno,False,1
9560,inferno,False,1
9600,inferno,False,1
9640,inferno,False,1
9700,inferno,False,1
9710,inferno,False,2
9720,inferno,False,1
9730,inferno,False,2
9800,inferno,False,2
9810,inferno,False,1
9870,inferno,False,1
9940,inferno,False,1
9970,inferno,False,1
9980,inferno,False,1
10050,inferno,False,2
10070,inferno,False,1
10090,inferno,False,1
10110,inferno,False,1
10130,inferno,False,2
10210,inferno,False,1
10250,inferno,False,1
10260,inferno,False,2
10280,inferno,False,1
10310,inferno,False,1
10330,inferno,False,1
10350,inferno,False,1
10370,inferno,False,1
10380,inferno,False,1
10390,inferno,False,3
10440,inferno,False,1
10450,inferno,False,1
10510,inferno,False,1
10530,inferno,False,1
10560,inferno,False,1
10620,inferno,False,1
10650,rescue,False,1
10690,inferno,False,2
10740,inferno,False,1
10770,inferno,False,1
10790,inferno,False,1
10800,inferno,False,1
10800,rescue,False,1
10820,inferno,False,1
10940,rescue,False,1
10980,inferno,False,1
11010,inferno,False,1
11050,inferno,False,1
11060,inferno,False,1
11070,inferno,False,2
11080,inferno,False,1
11110,inferno,False,1
11120,inferno,False,1
11140,rescue,False,1
11150,inferno,False,1
11200,inferno,False,3
11220,inferno,False,1
11290,inferno,False,2
11310,inferno,False,1
11390,inferno,False,1
11420,inferno,False,1
11430,inferno,False,1
11450,inferno,False,2
11470,inferno,False,1
11480,inferno,False,1
11560,inferno,False,1
11610,inferno,False,1
11630,inferno,False,1
11650,inferno,False,1
11700,inferno,False,1
11740,inferno,False,1
11790,inferno,False,1
11800,inferno,False,1
11820,inferno,False,1
11830,inferno,False,1
11850,inferno,False,1
11890,inferno,False,1
11950,inferno,False,1
11970,inferno,False,1
12010,inferno,False,1
12040,inferno,False,1
12070,inferno,False,1
12100,inferno,False,1
12190,inferno,False,1
12270,inferno,False,1
12320,inferno,False,2
12330,inferno,False,1
12390,inferno,False,1
12430,inferno,False,1
12460,inferno,False,1
12490,inferno,False,1
12500,inferno,False,1
12560,inferno,False,1
12610,inferno,False,1
12620,inferno,False,1
12650,inferno,False,1
12680,inferno,False,1
12730,inferno,False,1
12740,inferno,False,1
12790,inferno,False,1
12800,inferno,False,2
12910,inferno,False,1
12930,inferno,False,1
12950,inferno,False,1
13050,inferno,False,1
13070,rescue,False,1
13160,inferno,False,1
13170,inferno,False,1
13180,rescue,False,1
13290,rescue,False,1
13330,inferno,False,1
13350,inferno,False,1
13380,inferno,False,1
13440,inferno,False,1
13520,inferno,False,1
13530,inferno,False,1
13570,inferno,False,1
13640,inferno,False,1
13650,inferno,False,1
13680,inferno,False,1
13750,inferno,False,1
13800,inferno,False,1
13840,inferno,False,1
13900,inferno,False,1
13920,inferno,False,1
13980,inferno,False,1
14030,inferno,False,2
14170,inferno,False,1
14180,inferno,False,1
14220,inferno,False,1
14270,inferno,False,1
14330,inferno,False,1
14470,inferno,False,2
14480,inferno,False,1
14510,inferno,False,1
14560,inferno,False,1
14580,inferno,False,1
14590,inferno,False,1
14640,inferno,False,1
14740,inferno,False,1
14770,inferno,False,1
14800,inferno,False,1
14860,inferno,False,1
14910,inferno,False,1
15140,inferno,False,2
15160,inferno,False,1
15200,inferno,False,1
15240,inferno,False,1
15270,inferno,False,1
15360,inferno,False,2
15370,inferno,False,1
15430,inferno,False,1
15530,inferno,False,1
15580,inferno,False,1
15600,inferno,False,1
15630,rescue,False,1
15660,inferno,False,1
15710,inferno,False,1
15730,inferno,False,2
15860,inferno,False,1
15870,inferno,False,1
15900,inferno,False,1
16040,inferno,False,1
16070,inferno,False,1
16080,inferno,False,1
16180,inferno,False,1
16320,inferno,False,1
16420,inferno,False,1
16700,inferno,False,1
16820,inferno,False,1
16840,inferno,False,1
16930,inferno,False,1
17000,inferno,False,1
17010,inferno,False,1
17040,inferno,False,1
17070,inferno,False,1
17090,inferno,False,1
17100,inferno,False,1
17360,inferno,False,1
17600,inferno,False,1
17610,inferno,False,1
17710,rescue,False,1
17950,rescue,False,1
17960,inferno,False,1
18030,inferno,False,1
18060,inferno,False,2
18070,inferno,False,1
18260,inferno,False,2
18270,inferno,False,1
18390,inferno,False,1
18420,inferno,False,1
18570,inferno,False,1
18620,inferno,False,1
18650,inferno,False,1
18720,inferno,False,1
18760,inferno,False,1
18920,inferno,False,1
18970,inferno,False,1
19080,inferno,False,1
19120,inferno,False,1
19250,inferno,False,1
19270,inferno,False,1
19300,inferno,False,1
19310,inferno,False,1
19340,inferno,False,1
19450,inferno,False,1
19460,inferno,False,1
19470,inferno,False,1
19490,inferno,False,1
19650,inferno,False,1
19840,inferno,False,1
20170,inferno,False,1
20230,inferno,False,1
20390,inferno,False,1
20640,inferno,False,1
20800,inferno,False,1
21130,inferno,False,1
21330,inferno,False,1
21610,inferno,False,1
21630,inferno,False,1
21940,inferno,False,1
22050,inferno,False,1
22300,inferno,False,1
22570,inferno,False,1
22610,inferno,False,1
22690,inferno,False,1
22710,inferno,False,1
22760,rescue,False,1
23040,inferno,False,1
23070,inferno,False,1
23180,inferno,False,1
23270,inferno,False,1
23370,inferno,False,1
23540,inferno,False,1
23710,inferno,False,1
23780,inferno,False,1
23830,inferno,False,1
24060,inferno,False,1
24940,inferno,False,1
25620,inferno,False,1
25670,inferno,False,1
25740,inferno,False,2
25770,inferno,False,1
26040,inferno,False,1
26090,inferno,False,1
26760,inferno,False,1
27100,inferno,False,1
27130,inferno,False,1
27260,inferno,False,1
27340,inferno,False,1
27850,inferno,False,1
27990,inferno,False,1
28230,inferno,False,1
28310,inferno,False,1
28380,inferno,False,1
28930,inferno,False,1
29220,inferno,False,1
29410,inferno,False,1
29770,inferno,False,1
30090,inferno,False,1
30430,inferno,False,1
30740,inferno,False,1
30750,inferno,False,1
30880,inferno,False,1
31530,inferno,False,1
31560,inferno,False,1
31670,inferno,False,1
31980,inferno,False,1
32770,inferno,False,1
33220,inferno,False,1
33660,inferno,False,1
33770,inferno,False,1
34260,inferno,False,1
35190,inferno,False,1
35230,inferno,False,1
35320,inferno,False,1
36440,inferno,False,1
37780,inferno,False,1
38510,inferno,False,1
38600,inferno,False,1
41340,inferno,False,1
41660,inferno,False,1
43240,inferno,False,1
43450,inferno,False,1
45090,inferno,False,1
45460,inferno,False,1
46360,inferno,False,1
47190,inferno,False,1
49620,inferno,False,1
51330,inferno,False,1
52260,inferno,False,1
52860,inferno,False,1
59260,inferno,False,1
66500,inferno,False,1
70480,inferno,False,1
86310,inferno,False,1
91580,inferno,False,1
1500000,inferno,False,1
